@RaulCesarTCF; tweeted: Hoje o Bahia goleia o Paraná 
Amanhã a chape ganha do Vitória 
O Cruzeiro com time reserva vai entregar pro Vasco… https://t.co/9KDPKYny4z;Sat Oct 13 13:41:21 +0000 2018
@jpnakakura; tweeted: O @Cruzeiro nos próximos 5 jogos :
Vasco (Fora)
Chapecoense (Casa)
Ceará (Casa)
Paraná (Casa)
América MG (Fora)

Só… https://t.co/xlj3b5jAnp;Sat Oct 13 12:44:39 +0000 2018
@CinhoTeles; tweeted: Quem joga o clássico? Adilson Batista faz mistério, mas utilizará 15º time diferente no América contra o Atlético -… https://t.co/heC9wK2ed2;Sat Oct 13 11:29:11 +0000 2018
@cabral_ol; tweeted: RT @ochicoefoda: Copa do Brasil Sub17
Segunda Fase

Ida - 17/10 (quarta-feira)
15:00h: América/MG x Flamengo
Estádio das Alterosas

Volta -…;Sat Oct 13 11:20:28 +0000 2018
@ochicoefoda; tweeted: RT @ochicoefoda: Copa do Brasil Sub17
Segunda Fase

Ida - 17/10 (quarta-feira)
15:00h: América/MG x Flamengo
Estádio das Alterosas

Volta -…;Sat Oct 13 11:09:30 +0000 2018
@ge_americamg; tweeted: No 100º jogo com a camisa do América-MG, Messias revê adversário do único gol no ano https://t.co/kQUEBaGcKg;Sat Oct 13 09:02:14 +0000 2018
@xEmirates10x; tweeted: @LeandroDiasNF @NETFLU pelo os jogos que eu vi do América MG, tamo fudido se esse cara vir. joga de cabeça baixa o tempo todo, nunca vi;Sat Oct 13 02:20:26 +0000 2018
@gfmn; tweeted: @danielperrone Gostei da escalação. Na minha opinião acerta se entrar com esse time.
Entrada do Liziero traz qualid… https://t.co/bJCMsxRuAs;Sat Oct 13 02:15:42 +0000 2018
@WesleySantoos14; tweeted: RT @AnnaClaudia_ffc: Fluminense pagou os salários de agosto e a premiação da sul-americana que estava atrasada

Está acertando a permanênci…;Sat Oct 13 01:54:18 +0000 2018
@jornaltijucas; tweeted: Atlético-MG e América-MG buscam vitória e paz em clássico -  https://t.co/6s1RTbAN3B;Sat Oct 13 01:34:55 +0000 2018
@CamilloJOGA10; tweeted: Adilson Batista fecha treino e faz mistério sobre a escalação do América-MG : https://t.co/YXUIbJTgfa https://t.co/3nUZy3o4ed;Sat Oct 13 01:23:09 +0000 2018
@score_streaming; tweeted: Atletico MG x America MG AO VIVO: directo, grátis, resultados

LIVE LINK: https://t.co/wjvjHBsya4

#MATCHDAY! MATCH DAY;Sat Oct 13 00:31:13 +0000 2018
@futbolfanmundo; tweeted: ATLÉTICO MG VS AMÉRICA MG - Rodada 29 - Brasileirao 2018 - Pronostico l Prediccion l Alineaciones: https://t.co/FHtcZb8sVq via;Sat Oct 13 00:02:32 +0000 2018
@MrioBrother1; tweeted: @danielperrone Tarde demais! Se não tivesse ao menos tirado o Everton F. E o Lizeiro contra o América Mg,teríamos g… https://t.co/7fuRbCqppG;Fri Oct 12 23:29:12 +0000 2018
@roger04072012; tweeted: @parasempre77 Contra o América MG fez uma baita partida;Fri Oct 12 23:23:34 +0000 2018
@clubedaposta; tweeted: Prognóstico para Atlético MG x América MG • 14/10 • Brasileirão 2018: https://t.co/nDczaaOa5g via @YouTube;Fri Oct 12 22:35:27 +0000 2018
@Bigorrasep; tweeted: Se o Palmeiras chegar rápido a 73 Pontos, já será o campeão.Fiz uma previsão humilde aqui e o Deca vai chegar entre… https://t.co/CWkRRg4uZx;Fri Oct 12 22:31:09 +0000 2018
