Id;Score;text;data;
1;1;0.494821190834045;tweetedGOOOOOOOOOOOOOOOOOOOLLL DO GAAAAAAALLLLOOOOOOOOOOOOOOO GALO CAMxSPO AMassaJogaJunto TimeDeTodos ðŸðŸ;01/10/2018 18:00
2;2;0.301834404468536;tweeted Eu prometi que ia beber duas cervejas pra cada gol do Galo depois do jogo;01/10/2018 18:00
3;3;0.5;Hahahahahahahahahaha;01/10/2018 18:00
4;4;0.656165838241577;GraÃas a Deus;01/10/2018 18:00
5;5;0.419621288776398;tweeted ÃŠ Galo me iludi que eu gosto;01/10/2018 18:00
6;6;0.580879330635071;tweetedFÃbio Santos cobra pÃnalti manda a bola para o fundo do goooooooooooooooooooooooooooooooooooooooool e vira o jogo paraâ€;01/10/2018 18:00
7;7;0.515552580356598;tweetedCazares faz o quarto gol do Galo no Horto;01/10/2018 18:00
8;8;0.554307818412781;tweetedCharÃ invade a Ãrea e toca Elias chuta no cantinho e manda a bola para o fundo do gooooooooooooooooooooooooooooooooooooâ€;01/10/2018 18:00
9;9;0.494821190834045;tweeted galo;01/10/2018 18:00
10;10;0.909238934516907;O time da virada o time do amor;01/10/2018 18:00
11;11;0.5;galodoido familiagalo aquiegalo;01/10/2018 18:00
12;12;0.523723661899567;galoxleÃo atleticoxsport em Arena Iâ€;01/10/2018 18:00
13;13;0.5;tweeted GOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOâ€;01/10/2018 18:00
14;14;0.374320149421692;tweetedRapaz eu estava brincando quando falei de arrombo;01/10/2018 18:00
15;15;0.395178914070129;tweeted Cazares deu o maior drible da vaca de todos os tempos pra fazer esse gol;01/10/2018 18:00
16;16;0.49662059545517;tweeted Quando cazares que jogar ele msm dÃ o passe pra ele fazer o gol galo;01/10/2018 18:00
17;17;0.0238095242530107;tweeted QUE MERDA ESSE TIME DO GALO SÃ“ PORQUE EU TAVA SEM DINHEIRO PRA IR NO JOGO TOMAR NO MEU CU;01/10/2018 18:00
18;18;0.446939408779144;tweeted JÃ TÃ” ILUDIDA Galo;01/10/2018 18:00
19;19;0.500072479248047;tweeted Ainda tava comemorando o golaÃo do Emerson qd o Cazares apronta;01/10/2018 18:00
20;20;0.494821190834045;VamoGalo Galo;01/10/2018 18:00
21;21;0.335331618785858;tweetedNÃo para NÃo para NÃo para nÃo AMassaJogaJunto Vai pra cima deles Galo;01/10/2018 18:00
22;22;0.550139009952545;tweetedGOOOOOOAAAAALLLL Elias AtleticoSport;01/10/2018 18:00
23;23;0.327475965023041;tweeted Deu nem tempo de comentar um gol jÃ sai outro âšâšâšâš Galo;01/10/2018 18:00
24;24;0.314970135688782;tweeted Goool do Galo min ÂTCazares aparece na cara do gol e amplia Virou festa AtlÃticoxSport;01/10/2018 18:00
25;25;0.5;tweeted falando de futebol;01/10/2018 18:00
26;26;0.476725399494171;prende o LeÃo que o GALO ta solto no terreiro do Independia;01/10/2018 18:00
27;27;0.476303696632385;tweeted Acho que to vendo uma reprise do jogo da Alemanha na globo minas Hahahahahaha Galo;01/10/2018 18:00
28;28;0.520731389522552;tweetedBola rolando ComeÃa o jogo no Horto;01/10/2018 18:00
29;29;0.26088011264801;tweeted Ricardo pastor inÃtil jÃ tinha desistido do lance Cachazares deu uma luz mostrando pra esse filho da puta pastorâ€;01/10/2018 18:00
30;30;0.484210163354874;tweeted Meu Deusssss Que gol foi esse Cazaresapro meu GalÃo queriiiiiido Faltou apenas opra narrar kkkk Ãh GALO;01/10/2018 18:00
31;31;0.521618843078613;tweeted MEU TIME TA BRILHANDO MUITO HOJEVAI GALOOOOO ðŸ”ðŸ” GALO;01/10/2018 18:00
32;32;0.622710645198822;tweeted Ã‰ goleada jÃ hahaha Galo;01/10/2018 18:00
33;33;0.426903784275055;tweeted Somos testemunha do maior rabo da vaca jÃ visto na histÃria Galo AquiÃGalo CAMxSPO;01/10/2018 18:00
34;34;0.446011900901794;tweeted Esse time qualquer dia me mata Galo âïðŸ˜‚;01/10/2018 18:00
35;35;0.494821190834045;tweetedGOOOOOOOL do Galo ðŸ–ðŸ“;01/10/2018 18:00
36;36;0.53152596950531;Sabe de queeeem Cazares AquiÃ‰Galo;01/10/2018 18:00
37;37;0.5;tweetedxemmim;01/10/2018 18:00
38;38;0.47185891866684;COMASSIM;01/10/2018 18:00
39;39;0.5;HAHAAâ™;01/10/2018 18:00
40;40;0.643237233161926;tweeted Meu time bebeu hj kkkkkkkk bora Galo;01/10/2018 18:00
41;41;0.515372395515442;tweeted AssistÃncia e gol de Cazares no mesmo lance Galo ðŸ“;01/10/2018 18:00
42;42;0.52349054813385;tweeted Que isso odeu o passe pra ele mesmo marcar o gol Pode isso Arnaldo Kkkkk Galo BicaBicudo;01/10/2018 18:00
43;43;0.387152165174484;tweeted TÃ gostando Galo se quiser pode meter mais bons tempos que nÃo comemoro gols assim nessa frequÃncia;01/10/2018 18:00
44;44;0.494821190834045;tweeted Galo;01/10/2018 18:00
45;45;0.5;Uhuuuuuu ðŸ‘ðŸ‘ðŸ‘ðŸ‘;01/10/2018 18:00
46;46;0.494821190834045;Aqui Ã Galo porraaaaaa;01/10/2018 18:00
47;47;0.521342515945435;tweeted Que que isso na minha TLgols do GALO emminutos;01/10/2018 18:00
48;48;0.579975306987762;tweeted Cazarinho ligadÃo Tomou umas hoje Galo;01/10/2018 18:00
49;49;0.494821190834045;tweeted Gente do cÃu ðŸ– GALO;01/10/2018 18:00
50;50;0.489384174346924;tweeted Que issoque isso GOOOOOOOOOOOOOOL Joga fÃcil demais da conta PQPafora o baile ðŸ‘ŠðŸðŸ‘ŠðŸðŸ‘ŠðŸðŸ“ GALO aquiÃGALO;01/10/2018 18:00
51;51;0.0327460765838623;tweeted NÃo esta dando nem tempo de comemorar e sai outro Gol CAMxSPOâšâšâšâš Galo;01/10/2018 18:00
52;52;0.460258066654205;tweeted que golaÃo do Emerson pqp vamo galo;01/10/2018 18:00
53;53;0.273172438144684;tweeted Se o Pastor nÃo deixar o dele hje pode entregar pra Deus Galo;01/10/2018 18:00
54;54;0.59189784526825;tweeted Viu Ã tÃo difÃcil assim Ã‰ sÃ isso que a gente quer Galo Na verdade a gente quer mais gols mas sÃ vencer jÃ tÃ de bom tamanho;01/10/2018 18:00
