"X1";"Score";"text";"data"
"38";38;"0.285623997449875";"cruzeiro
ForaItairMachado 
ForaItair 
EuVivoOCruzeiro 
ForaDiretoria 

Pede pra sair antes que um bandido cond…";2019-06-14 17:34:37
"39";39;"0.356440007686615";"Kd os caras
Fazendo as malas
cruzeiro
ForaDiretoria 
EuVivoOCruzeiro";2019-06-14 17:23:54
"40";40;"1";"FELIZ ANIVERSÁRIO MEU TIME LINDO MULTICAMPEÃO <U+0001F44F><U+0001F3FB><U+0001F60D><U+0001F389>
TE AMO MUITO<U+0001F4AA><U+0001F3FB><U+0001F98A><U+0001F3D0><U+0001F499><U+0001F44A><U+0001F3FB>
QUE VENHAM MUITAS E MUITAS…";2019-06-14 17:21:36
"41";41;"0.497252762317657";"Internet Fibra ÓpticaQualidade e tecnologia em Fibra Óptica de ponta a ponta planos para toda a família Pl…";2019-06-14 16:27:43
"42";42;"0.462393879890442";"O futebol evoluindo e mano Menezes ficando pra trás cruzeiro futebol foramano…";2019-06-14 16:26:00
"43";43;"0.579676151275635";"<U+0001F1E7><U+0001F1F7> BrasileirãoFortalezavs CruzeiroGoals André Luishead Sassá Red Card Nathan Ribeiro at";2019-06-14 16:13:39
"44";44;"0.506076276302338";"Torcedores do Cruzeiro diante do atual momento do Mano e das alternativas mais acessíveis do mercado vocês troca…";2019-06-14 16:04:42
"45";45;"0.318749874830246";"É jogador que não joga dizendose lesionadoindo para Cancun nos ONZE DIAS de folga ao invés de tratar da lesão…";2019-06-14 15:49:26
"46";46;"0.706281125545502";"Alô Nação Azul 
Confira a minha colunaNo pedacinho que a Galera gosta no caderno de esportesdo jor…";2019-06-13 11:40:08
"47";47;"0.994326055049896";"Meninas cruzeirenses que curtem jogar um futebol chamem no pv <U+0001F44A><U+0001F3FB><U+0001F499>
seunomeseubairro Cruzeiro htt…";2019-06-13 11:30:10
"48";48;"0.994326055049896";"Meninas cruzeirenses que curtem jogar um futebol chamem no pv <U+0001F44A><U+0001F3FB><U+0001F499>
seunomeseubairro…";2019-06-13 11:18:42
"49";49;"0.515358567237854";"E os gols tomados Cruzamento da esquerda gol na direita Flu e ontem Cruzamento na direita gol na a trave Ontem vergonha cruzeiro";2019-06-13 11:12:20
"50";50;"0.503558218479156";"TTermina a partida válida pelarodada do

FORTALEZAXCRUZEIRO

FORxCRU NasBatalhasComOCr…";2019-06-13 11:00:41
"51";51;"0.237401127815247";"O Vinicius Popô e Fabrício Bruno vão sair sem terem chances no time titular do Cruzeiro É inadmissível isso Os nova…";2019-06-13 10:52:09
"52";52;"0.735554754734039";"Uma benção essa parada Que Mano Mourinho trabalhe bem e o Cruzeiro volte a jogar futebol
Cruzeiro";2019-06-13 10:44:35
"53";53;"0.328160464763641";"O Rogério Ceni aposentou como programado pelo cruzeirense mas o Cruzeiro segue sendo vítima dele Que fase 

Rogério…";2019-06-13 10:43:16
"54";54;"0.328160464763641";"O Rogério Ceni aposentou como programado pelo cruzeirense mas o Cruzeiro segue sendo vítima dele Que fase…";2019-06-13 10:32:00
"55";55;"0.706281125545502";"Alô Nação Azul 
Confira a minha colunaNo pedacinho que a Galera gosta no caderno de esportes …";2019-06-13 10:28:24
"56";56;"0";"NÃO SEI SE FICO TRISTE OU FELIZ POR FICA UM MÊS SEM JOGOS DO CRUZEIRO<U+0001F610><U+0001F602>

Cruzeiro";2019-06-13 10:21:50
"57";57;"0.280632644891739";"Edílson

Só veio jogar no Cruzeiro por causa do altíssimo salario e premiações já que está em fim de carreira Quase…";2019-06-13 10:18:29
"58";58;"0.5";"Wallpaper do Cruzeiro

Visite";2019-06-13 10:08:01
"59";59;"0.302297383546829";"Edílson

Só veio jogar no Cruzeiro por causa do altíssimo salario e premiações já que está em fim de carreira Q…";2019-06-13 10:07:17
"60";60;"0.695670008659363";"Mozãoamp eu <U+0001F499> AmorEterno Cruzeiro";2019-06-13 10:04:45
"61";61;"0.410064816474915";"RESUMINDO A SITUAÇÃO DO CRUZEIRO














cruzeirodadepre Cruzeiro CruzeiroEsporteClube…";2019-06-13 09:56:12
"62";62;"0.0567288845777512";"Dodô

Parece um exatleta vive se poupando em campo com medo de se lesionar O Cruzeiro não tem espaços para jog…";2019-06-13 09:54:55
"63";63;"0.0177879333496094";"Torcida do Cruzeiro te que cometer era um atentado contra essa atual diretoria matar…";2019-06-13 09:49:04
"64";64;"0.499794125556946";"É TRISTEMAS É ISSO 















cruzeirodadepre Cruzeiro CruzeiroEsporteClube MaiordeMinas…";2019-06-13 09:43:44
"65";65;"0";"Infelizmente os homens que hoje estão à frente do CEC não dão a mínima para…";2019-06-13 09:33:13
"66";66;"0.285793840885162";"Comentarista da Itatiaia dizendo que o CruzeiroMG tem um elenco muito forteContinuem assim não parem de elogiar…";2019-06-13 09:16:34
"67";67;"0.239387422800064";"SÉRIE A 

Oenfrentou onesta quartaEsse deveria ser o jogo para não depender de nenh…";2019-06-13 09:04:29
"68";68;"0.319359093904495";"Trocar Mano por Abel é trocarpor meia dúzia Só acho cruzeiro FechadoComOCruzeiro";2019-06-13 08:58:23
"69";69;"0.138298869132996";"O Vinicius Popô e Fabrício Bruno vão sair sem terem chances no time titular do Cruzeiro É inadmissível isso Os…";2019-06-13 08:57:57
"70";70;"0.549742221832275";"Precisamos de dirigentes com esse deveriam sempre se espelhar nele o presidente mais importante da história do…";2019-06-13 08:40:40
"71";71;"0.666358351707458";"Tem que arrumar a casa ajustar as contas e usar da sua formação de atletas para ajudar nisso Cruzeiro precisa ret…";2019-06-13 08:34:56
"72";72;"0.284156441688538";"Eu trabalho pago sócio compro matérias e uniformes vou ao estádio Para ver isso
ChegaDe adeus ao meu sóc…";2019-06-13 08:17:20
"73";73;"0.0652173906564713";"Time com Ariel Cabral em campo não dá certo Não vai pra frente Ariel Cabral erra passes demais da conta e faz com…";2019-06-13 08:15:24
"74";74;"0.377648502588272";"Sei que serei criticado por muitos
Mas não dá mais pra apoiar comprar camisas ou ir ao estádio cm o time assim…";2019-06-13 08:13:16
"75";75;"0.709341108798981";"<U+26BD> FortalezaECCruzeiro 

• Ótima pontuação do lateral Carlinhos que deu uma assistência e teveRBs na par…";2019-06-13 08:12:59
"76";76;"0.487245082855225";"O Conselho Deliberativo tem que tomar medidas cabíveis mais rapidamente para que possa derrubar a diretoria atual q…";2019-06-13 08:10:15
"77";77;"0.5";"CRUZEIROSASSÁ
esporteemminas 
 
telmoferreiraoficial esporteemminas tfsimages mineirao…";2019-06-13 08:09:30
"78";78;"0.690309166908264";"A maioria dos treinadores quando o time está com um a mais coloca o time todo para frente colocando mais atacante…";2019-06-13 08:06:21
"79";79;"0.0238095242530107";"Fora das quatro linhas a situação do Cruzeiro não está boa tanto fora de campo quanto dentro de campo Precisa qu…";2019-06-13 08:02:30
"80";80;"0.394775450229645";"Fortaleza vence Cruzeiro e passará parada da SérieA fora do Z";2019-06-13 07:54:16
"81";81;"0.0220091640949249";"Um presidente que governa apenas para poucos privilegiados
Uma oposição sem credibilidade
Vão acabar com a nossa…";2019-06-13 07:51:49
"82";82;"0.409982025623322";"dias de folga Cruzeiro 
Era só isso mesmo";2019-06-13 07:26:46
"83";83;"0.027546614408493";"Teimoso que nada Andre Luiz fezno cruzeiro e aqui era reserva do reserva do Cisclayssonperdebola";2019-06-13 07:22:02
"84";84;"0.417645931243896";"Apenas uma palavra para definir o Cruzeiro
CAOS";2019-06-13 06:53:54
"85";85;"0.412954896688461";"atleticanos zuando Cruzeirenses é a mesma coisa que um mendigo acharreais na rua e dizer Chupa Silvio Santos …";2019-06-13 06:50:17
"86";86;"0.811206340789795";"Bom dia Cruzeirenses de BH cês já foram na Toca da Raposa hoje Acho que tá na hora néCruzeiro";2019-06-13 06:37:14
"87";87;"0.465178251266479";"Será que o CRUZEIRO tá planejando jogar a segunda divisão em";2019-06-13 06:02:25
"88";88;"0.461654365062714";"Brasileirão Prodisponível em Android e iPhone
Baixar";2019-06-13 06:00:40
"89";89;"0.626727938652039";"Cruzeiropedia Nova ficha do Campeonato BrasileiroFortaleza x Cruzeirogt";2019-06-13 05:41:02
"90";90;"0.891413688659668";"Cruzeiro
Itair Machado e o melhor diretor de futebol do mundo <U+0001F5FA> <U+0001F44F> <U+0001F44F> <U+0001F44F> <U+0001F44F> <U+0001F44F>";2019-06-13 03:54:18
"91";91;"0.980536937713623";"Cruzeiro

Itair Machado e o melhor diretor de futebol do mundo <U+0001F5FA> <U+0001F44F> <U+0001F44F> <U+0001F44F> <U+0001F44F> <U+0001F44F> <U+0001F44F> <U+0001F44F>

Deixe o homem trabalhar em paz

O…";2019-06-13 03:42:06
"92";92;"0.665437579154968";"Tudo bem que o Cruzeiro está em crise dentro e fora de campo mas a vitória do FortalezaEC foi gigante Importantíssim…";2019-06-13 03:37:34
"93";93;"0.103014171123505";"Melancolia pura assistir aos últimos jogos do Cruzeiro Nem com um a mais e contra um time limitadíssimo conseguimos gan…";2019-06-13 02:59:58
"94";94;"0.13026374578476";"Cruzeiro perder para o Fortaleza com a diferença de orçamento é muita incompetência";2019-06-13 02:39:15
"95";95;"0.435307860374451";"É continuar trabalhando Temos a mesma comissão técnica vencedora e elenco comopções q nos anos anteriores Idad…";2019-06-13 01:32:23
"96";96;"0.68284147977829";"O mundo inteiro está contra nós
Mas a moral está la no teto

Cruzeiro
Ontem
Hoje 
E amanhã

Cruzeiro…";2019-06-13 01:29:46
"97";97;"0.285981476306915";"Tempo d rever conceitos A qda d Mano Menezes é o q todosquerem mídia e antis mas não é o q vai fazer o time…";2019-06-13 01:23:22
"98";98;"0.253840655088425";"Podemos dizer que o Mano subiu no telhado

Ou classifica o time na Copa do Brasil

Ou adeus a era Mano

Apesar n…";2019-06-13 01:01:37
"99";99;"0.175401985645294";"O problema maior que na posiçao que estamos nao podemos nem abandonar os jogos do brasileiro após o retorno

Serão…";2019-06-13 00:57:53
"100";100;"0.320883363485336";"Se o time do treinador que preza pela defesa retranca é o segundo time mais vazado do campeonato algo errado tem…";2019-06-13 00:56:23
"101";101;"0.319086730480194";"E a situação piora a passos largos

Que Deus abençoe esta instituição pois precisaremos muito

Cruzeiro";2019-06-13 00:55:36
"102";102;"0.0526286959648132";"Já não tinha o que comemorar na porra dessa quartafeira mesmo Quando o Cruzeiro apanha fora a treta acontece…";2019-06-13 00:50:57
