Id;Score;text;data;
1;1;0.647035598754883;SattweetedCom promo√√o e sorteios Am√ricaMG convoca a torcida para o confronto com o Gr√mio;20/10/2018 14:22
2;2;0.5;Sattweeted I liked avideo;20/10/2018 14:15
3;3;0.537873685359955;SattweetedCom a cabe√a na Libertadores Gr√mio encara o Am√ricaMG;20/10/2018 14:14
4;4;0.573699057102203;Sattweeted Com a cabe√a na Libertadores Gr√mio encara o Am√ricaMG;20/10/2018 14:14
5;5;0.503210604190826;tweeted Que novela esses tais Rmilh√es do Richarlison;13/10/2018 12:00
6;6;0.5;Parte burocr√ticaComo assimN√o √ mecanismo de solidarie‚Ä;20/10/2018 14:14
7;7;0.554400086402893;Sattweeted üì Am√ricaMG x Gr√mio Como Assistir Ao Vivo Placar Em Tempo Real E Escala√√es;20/10/2018 14:05
8;8;0.634943962097168;Sattweeted Blog do JuaresCom a cabe√a na Libertadores Gr√mio encara o Am√ricaMG;20/10/2018 14:04
9;9;0.704289019107819;Sattweeted am√rica MG x GR√äMIO no Curingas bar hoje;20/10/2018 13:58
10;10;0.545420110225677;SattweetedAcompanhe AO VIVO a final do Campeonato Mineiro Sub entre Cruzeiro x Am√ricaMG diretamente da Toca da Raposa‚öÔüîüäüëä‚Ä;20/10/2018 13:51
11;11;0.545420110225677;SattweetedAcompanhe AO VIVO a final do Campeonato Mineiro Sub entre Cruzeiro x Am√ricaMG diretamente da Toca da Raposa‚öÔ‚Ä;20/10/2018 13:46
12;12;0.545420110225677;Sattweeted Acompanhe AO VIVO a final do Campeonato Mineiro Sub entre Cruzeiro x Am√ricaMG diretamente da Toca da Raposa ‚Ä;20/10/2018 13:41
13;13;0.421169579029083;Sattweeted acho que a √nica pessoa que eu conheci que torce p Am√rica MG √ meu v√;20/10/2018 13:37
14;14;0.570538878440857;tweeted Cruzeiro x Chapecoenseh domingo ser√ no Est√dio Independ√ncia do Am√ricaMG;13/10/2018 12:00
15;15;0.35319784283638;Embora Claudinei Oliveira s‚Ä;20/10/2018 13:36
16;16;0.507279872894287;SattweetedIsso significa que o Am√rica MG vai pontuar;20/10/2018 13:32
17;17;0.57926881313324;Sattweeted Rodadatudo o que voc√ precisa saber sobre Am√ricaMG x Gr√mio;20/10/2018 13:00
18;18;0.268888205289841;Sattweeted Prov√vel Gr√mio que entrar√ a campo hoje diante do Am√rica MG Paulo Victor Madson Paulo Miranda Bressan Junin‚Ä;20/10/2018 12:55
19;19;0.330859988927841;tweetedPara se afastar da zona do rebaixamento Am√rica enfrenta o Gr√mio no Independ√ncia;13/10/2018 12:00
20;20;0.33670049905777;tweeted Para se afastar da zona do rebaixamento Am√rica enfrenta o Gr√mio no Independ√ncia;13/10/2018 12:00
21;21;0.5;SattweetedEm busca de rea√√o Am√ricaMG enfrente reservas do Gr√mio;20/10/2018 12:50
22;22;0.5;Sattweeted Em busca de rea√√o Am√ricaMG enfrente reservas do Gr√mio;20/10/2018 12:50
23;23;0.559584558010101;America MG vs Gremio;13/10/2018 12:00
24;24;0.537263035774231;Sport Recife vs Vasco da Gama;13/10/2018 12:00
25;25;0.5;Sao P‚Ä;20/10/2018 12:30
26;26;0.527243256568909;Sattweeted Tricolor enfrentou o time mineirovezes venceu seis vezes e empatou quatro;20/10/2018 12:30
27;27;0;Sattweeted N√o sei se consigo fazer maratona de Daredevil porque ainda quero assistir WHU vs Tottenham Pe√arol vs Nacional A‚Ä;20/10/2018 12:20
28;28;0.575499713420868;tweetedDia de marcar pontos para se manter no grupo da frente no Brasileiro;13/10/2018 12:00
29;29;0.395775198936462;Ojogar√ na tarde de hoje√†s h c‚Ä;20/10/2018 12:08
30;30;0.572843432426453;tweeted Jogo √ hoje √†s h;13/10/2018 12:00
31;31;0.478163629770279;PortalArauto JornalismoArauto Gr√mio;20/10/2018 12:07
32;32;0.588417053222656;tweeted Dia de marcar pontos para se manter no grupo da frente no Brasileiro;13/10/2018 12:00
33;33;0.382618188858032;Ojogar√ na tarde de hoje√†s‚Ä;20/10/2018 12:06
34;34;0.60321569442749;Sattweeted Am√ricaMG x Gr√mio Tudo o que voc√ precisa saber sobre o duelo;20/10/2018 11:45
35;35;0.550558686256409;Sattweeted Confronto ser√ disputado com equipe alternativa neste s√bado em Minas Gerais;20/10/2018 11:30
36;36;0.545792818069458;Sattweeted Desarme √ Desarme O americamg do volante flaviosilva visita o Cruzeiro √†s h pela final do Mineiro Sub ‚Ä;20/10/2018 11:09
37;37;0.523521542549133;Sattweeted Desarme √ Desarme Odo volantevisita o Cruzeiro √†s h pela final do Mineiro Sub‚Ä;20/10/2018 10:59
38;38;0.537514388561249;veja a prov√vel escala√√o;20/10/2018 10:58
