Id;Score;text;data;
48;48;0.282693147659302;TKhellven cobra falta e ela fica na rede pelo lado de fora CAPxOFEC TRNEC Paranaense;20/03/2019 21:48
49;49;0.688887059688568;TCleyton cobra e Léo defende no canto com tranquilidade CAPxOFEC TRNEC Paranaense;20/03/2019 21:46
50;50;0.219488024711609;TRossetto coloca a mão na bola Falta frontal de longa distância para o Fantasma CAPxOFEC TRNEC Paranaense;20/03/2019 21:45
51;51;0.658195197582245;TAthletico também tenta sair jogando bonito no campo de defesa e se complica CAPxOFEC TRNEC Paranaense;20/03/2019 21:43
52;52;0.588354468345642;TDefesa do Athletico é pressionada A bola sobra com Lucas Batatinha que bate de primeira Léo encaixa no…;20/03/2019 21:42
53;53;1;"TLucas Batatinha gira cruza mas joga nas mãos de Léo CAPxOFEC Paranaense

O TRNEC tem apoio…";20/03/2019 21:41
54;54;0.251458048820496;TOperário tem dificuldade para sair jogando no campo defensivo CAPxOFEC TRNEC Paranaense;20/03/2019 21:39
55;55;0.40303111076355;TPelo segundo jogo consecutivo o Operário sofre gol com menos de cinco minutos CAPxOFEC TRNEC Paranaense;20/03/2019 21:36
56;56;0.541591703891754;TKhellven cruza na área a bola quica e Simão joga para escanteio CAPxOFEC TRNEC Paranaense;20/03/2019 21:34
57;57;0.53386527299881;TAlisson erra a saída de bola e entrega de graça para o adversário CAPxOFEC TRNEC Paranaense;20/03/2019 21:33
58;58;0;TRobinho tenta puxar o ataque mas é derrubado Falta marcada na intermediária CAPxOFEC TRNEC Paranaense;20/03/2019 21:31
59;59;0.442164361476898;Eu tirei Lucho González E você;20/03/2019 17:59
60;60;0.647205948829651;"Retornaram os Trucker Floral
Veja todos modelos";20/03/2019 17:29
61;61;0.442164361476898;Eu tirei Bergson E você;20/03/2019 16:28
62;62;0.642905235290527;Varias marcasmodelos e estilos de bonés com atéOFF aproveite nossa promoção de verão Tribo Urbana<U+2600><U+FE0F><U+0001F334>…;20/03/2019 16:01
63;63;0.646436393260956;"Coleção de outono<U+0001F342>
shorts narina cap camisetaregata 
 
Ph";20/03/2019 15:39
64;64;0.442164361476898;Eu tirei Weverton E você;20/03/2019 14:51
65;65;0.564185261726379;Eu tirei Tiago Nunes E você;20/03/2019 14:03
66;66;0.442164361476898;Eu tirei Bruno Guimarães E você;20/03/2019 13:47
67;67;0.433601289987564;Eu tirei Felipe Gedoz E você;20/03/2019 13:15
68;68;0.555255889892578;Eu tirei Lucho González Logo o Lucho kkkk E você;20/03/2019 13:10
69;69;0.442164361476898;Eu tirei Nikão E você;20/03/2019 12:57
70;70;0.442164361476898;Eu tirei Marcelo Cirino E você;20/03/2019 12:48
71;71;0.414555490016937;Foda Eu tirei Lucho González E você;20/03/2019 12:45
72;72;0.64862996339798;Hahaha Eu tirei Walter E você;20/03/2019 12:39
73;73;0.442164361476898;Eu tirei Paulo André E você;20/03/2019 12:17
74;74;0.681176424026489;NO EXERCÍCIO DA PROFISSÃORegistro do último final de semana em JOINVILLESC no ilovepds Que noite que…;20/03/2019 12:17
75;75;0.442164361476898;Eu tirei Tomás Andrade E você;20/03/2019 12:10
76;76;0.807565212249756;Muito feliz de ter tirado meu ídolo Eu tirei Cocito E você;20/03/2019 12:01
77;77;0.448226153850555;Capacete lsbrasil Vector em até x sem juros só aqui;20/03/2019 11:56
78;78;0.452004641294479;Eu tirei Cocito E você;20/03/2019 11:49
79;79;0.442164361476898;Eu tirei Bolinha E você;20/03/2019 11:36
80;80;0.401141762733459;Eu tirei Bergson;20/03/2019 11:23
81;81;0.5;BOTA NO ALTOO;20/03/2019 09:53
82;82;0.062109537422657;Estamos longe das eleições do CAP mas assim como no quase morto coritiba uma voz de esquerda começa a nascer A…;20/03/2019 09:04
83;83;0.433601289987564;"MISERICORDIA hahhahahahhahahahaaha

Eu tirei Felipe Gedoz E você";20/03/2019 08:18
84;84;0.442164361476898;Eu tirei Jonathan E você;20/03/2019 07:52
85;85;0.47472208738327;Eu tirei Paulo Baier E você;20/03/2019 01:08
86;86;0.363386124372482;"Puts
Eu tirei Felipe Gedoz E você";20/03/2019 00:49
87;87;0.442164361476898;"BIG NIKAODIZAPZAP

Eu tirei Nikão E você";20/03/2019 00:17
88;88;0.0723439380526543;Difícil é domar macaco velho eles sempre ouvem a musica antes de você contar a verdade para os azuis Rafael Ber…;20/03/2019 00:12
