Id;Score;text;data;
1;1;0.448784112930298;tweetedAdilson Batista volta a utilizar tr√s volantes no Am√rica para encarar o Atl√ticoPR;13/10/2018 12:00
2;2;0.448784112930298;tweeted Adilson Batista volta a utilizar tr√s volantes no Am√rica para encarar o Atl√ticoPR;13/10/2018 12:00
3;3;0.58484673500061;Sattweeted Atl√tico PR x Am√rica MG Ao Vivo Em HD;06/10/2018 18:31
4;4;0.5;tweeted SONHO INTERNACIONAL;13/10/2018 12:00
5;5;0.575950682163239;encara ode olho em chance de G para Libertadores;13/10/2018 12:00
6;6;0.5;Saiba tudo üëâü‚Ä;06/10/2018 18:30
7;7;0.508438229560852;tweeted üÜ Brasileir√o S√rie Aüáüá ¬ Rodada‚;13/10/2018 12:00
8;8;0.565164744853973;üì ¬ Atl√tico PR x Am√rica MG¬;06/10/2018 18:28
9;9;0.556468307971954;tweetedAtl√tico x Am√rica MG¬ rodada Brasileir√o;13/10/2018 12:00
10;10;0.5;Jogona Baixada;06/10/2018 18:22
11;11;0.814310729503632;tweetedAtl√ticoPR e Am√ricaMG fazem um bom duelo no meio da tabela;13/10/2018 12:00
12;12;0.610583543777466;Quem vai se distanciar do Z Veja a pr√via do duelo na Ar‚Ä;06/10/2018 18:14
13;13;0.814310729503632;tweeted Atl√ticoPR e Am√ricaMG fazem um bom duelo no meio da tabela;13/10/2018 12:00
14;14;0.604349374771118;Quem vai se distanciar do Z Veja a pr√via do duel‚Ä;06/10/2018 18:14
15;15;0.492650717496872;tweeted üìArena da BaixadaPR;13/10/2018 12:00
16;16;0.573294997215271;üìå Atl√ticoPR x Am√rica MG;13/10/2018 12:00
17;17;0.587080121040344;RT se voc√ escalou algu√m desta partida;13/10/2018 12:00
18;18;0.5;üé‚ö CartolaFC;06/10/2018 18:13
19;19;0.54075562953949;Sattweeted Assistir¬†Atl√ticoPR x Am√ricaMG ao vivo online;06/10/2018 18:11
20;20;0.593333423137665;Sattweeted Paulo Andr√ e Thiago Heleno para lembrar daquele jogo contra o Am√rica MG que foi exatamente nesse dia;06/10/2018 18:10
21;21;0.546183884143829;tweetedatletico mg e chapeco;13/10/2018 12:00
22;22;0.61706268787384;atletico pr e america mg;06/10/2018 18:09
23;23;0.551605641841888;Sattweeted Milton Mendes que est√ morando no CT do Sport viajou depois do jogo de ontem pra Curitiba Vai assistir Atl√tico P‚Ä;06/10/2018 18:09
24;24;0.325940519571304;Sattweetedvai ter Atl√ticoPR e Am√rica MG tbm s√ esses mrm;06/10/2018 18:09
25;25;0.557923555374146;S√o Paulo x Palmeiras;13/10/2018 12:00
26;26;0.54075562953949;Gr√mio x Bahia;13/10/2018 12:00
27;27;0.5;Cobert‚Ä;06/10/2018 18:06
28;28;0.59514844417572;tweeted H Atl√tico PR x Am√rica MG;13/10/2018 12:00
29;29;0.58199143409729;Sattweeted Assistir Atl√tico PR x Am√rica MG Ao Vivo;06/10/2018 18:02
30;30;0.5;Cob‚Ä;06/10/2018 17:45
31;31;0.088058277964592;SattweetedVai toma no teu cu hajahajajaj Mas tu sabe que √ real Am√rica MG chapecoense e sport n√o d√ pai Pr‚Ä;06/10/2018 17:44
32;32;0.635719776153564;Sattweeted Participe da jornada esportiva da R√dioCAP Atl√tico X Am√rica MG a partir das hs e concorra a uma chuteira SOUL‚Ä;06/10/2018 17:44
33;33;0.403601914644241;Sattweetedvisitaem busca de pontos para ficar longe da degola;06/10/2018 17:40
34;34;0.625893712043762;Sattweeted Atl√ticoPR x Am√ricaMG Tudo o que voc√ precisa saber sobre o duelo;06/10/2018 17:36
35;35;0.519122421741486;SattweetedAtl√tico enfrenta o Am√ricaMG pra arrancar de vez no Brasileir√o;06/10/2018 17:24
36;36;0.53067409992218;Sattweeted Atl√tico enfrenta o Am√ricaMG pra arrancar de vez no Brasileir√o;06/10/2018 17:14
37;37;0.553486704826355;Sattweeted Dica Atl√ticoPR vs Am√ricaMG;06/10/2018 17:12
38;38;0.520490288734436;Sattweeted Desarme √ Desarme O americamg do volante flaviosilva recebe o Uberl√ndia √†s h pelo hexagonal final do Mine‚Ä;06/10/2018 17:03
39;39;0.753005146980286;tweeted Hoje tem mais Brasileir√o;13/10/2018 12:00
40;40;0.51315701007843;h;13/10/2018 12:00
41;41;0.495929449796677;Sattweeted Desarme √ Desarme Odo volanterecebe o Uberl√ndia √†s h pelo hexagonal final do Mi‚Ä;06/10/2018 16:59
42;42;0.52179741859436;Sattweeted Mano o Am√rica MG ganha do United;06/10/2018 16:41
43;43;0.852007806301117;Sattweeted AO VIVO Atl√ticoPR x Am√ricaMG em tempo real e como assistir futebol futebolstatsdv sdv Acesse pelo link‚Ä;06/10/2018 16:35
44;44;0.644173800945282;Sattweeted ATLETICO PR X AMERICA MG;06/10/2018 16:24
45;45;0.201020449399948;SattweetedAtl√ticoPR vai com ataque de Marcelo Cirino Nik√o Raphael Veiga e Pablo contra Am√ricaMGREQUI√ÉON√ÉO;06/10/2018 16:15
46;46;0.551721811294556;tweeted Furac√o encara o Am√ricaMG pra arrancar de vez no Brasileir√o;13/10/2018 12:00
47;47;1;Sattweeted Ap√srodadastem desempenho melhor que o Am√ricaMG emque foi o campe√o da S√rie B ano pass‚Ä;06/10/2018 16:01
48;48;0.547630906105042;Sattweeted Atl√ticoPR x Am√ricaMG assistir online gr√tis e ao vivo pelo Brasileir√o s√rie A s√bado√†s ¬†hs‚Ä;06/10/2018 15:31
49;49;0.722919821739197;Sattweeted Invicto na Arena da Baixada Atl√ticoPR recebe Am√ricaMG pelo Campeonato Brasileiro;06/10/2018 15:30
50;50;0.856674909591675;Sattweeted E na preliminar de Furac√o x Am√rica MG aquele futebol moleque bem jogado dos comandos da velha guarda da‚Ä;06/10/2018 15:29
51;51;0.462782919406891;Sattweeted Perdemos para o Am√rica MG o sport a chapecoense e o Vit√riapontos perdidos para times pequenosat√ que dia m‚Ä;06/10/2018 15:23
52;52;0;SattweetedN√o consigo entender esse tipo de observa√√o parece carregada de desculpas Esse jogo foi pior qu‚Ä;06/10/2018 15:09
53;53;0.0530853271484375;Sattweeted S√ de pensar que o inter vai pegar o Am√rica Mg em casa j√ bate um desespero;06/10/2018 15:08
54;54;0.57926881313324;Sattweeted Rodadatudo o que voc√ precisa saber sobre Atl√ticoPR x Am√ricaMG;06/10/2018 14:20
55;55;0.643562257289886;Sattweeted Atl√tico x Am√ricaConfronto direto para se afastar do Z;06/10/2018 13:53
56;56;0.529914796352386;Sattweeted Atl√tico x Am√rica saiba como assistir ao jogo AO VIVO na TV;06/10/2018 13:51
57;57;0.184830844402313;SattweetedT√o imaginando que o Am√rica MG √ fraco mt diferente disso tem feito jogos excelentes at√ fora de casa no returno;06/10/2018 13:45
58;58;0.4522784948349;Sattweeted Luan do America Mg;06/10/2018 13:38
