Id;Score;text;data;
73;73;0.5;meubem;03/10/2018 00:00
74;74;0.738121926784515;tweeted Faixas de incentivo sÃƒÂo estendidas perto da casa de jogadores do Cruzeiro antes de decisÃƒÂoSuperesportes;03/10/2018 00:00
75;75;0.5;xÃâ‚Â;03/10/2018 00:00
76;76;0.597367465496063;tweetedAmanhÃƒÂ QuintaAzul todo mundo de azul LutaremosAteOFim Cruzeiro x NuncaCai;03/10/2018 14:59
77;77;1;tweeted AlguÃƒÂm tem fotos de boa qualidade da nova bandeira do Cruzeiro que foi colocada no Barro Preto;03/10/2018 00:00
78;78;0.5;RaposaSegueRaposa;03/10/2018 00:00
79;79;0.5;LaBestiaWed Oct;03/10/2018 00:00
80;80;0.597367465496063;tweeted AmanhÃƒÂ QuintaAzul todo mundo de azul LutaremosAteOFim Cruzeiro x NuncaCai;03/10/2018 14:49
81;81;0.720347285270691;tweeted AmanhÃƒÂ ÃƒÂ dia de todos com o manto azul Bora representar QuintaAzul RumoAoTri Cruzeiro;03/10/2018 14:41
82;82;0.5;tweetedFÃƒÂ uma forÃƒÂa que nos move;03/10/2018 00:00
83;83;0.765427589416504;Vamos que vamos meu Cruzeiro;03/10/2018 00:00
84;84;0.5;QuintaAzul ÃÅâ€™â„ÃÅâ€™â„ÃÅâ€™â„;03/10/2018 00:00
85;85;0.574819922447205;tweeted A maiorda quarta e quinta feira;03/10/2018 00:00
86;86;0.509043276309967;Juntos somos mais fortes;03/10/2018 00:00
87;87;0.401641666889191;tweeted FÃƒÂ uma forÃƒÂa que nos move;03/10/2018 00:00
88;88;0.598284780979156;tweetedVamo Cruzeiro QuintaAzul LutaremosAtÃƒÂoFim cruzeiro;03/10/2018 14:35
89;89;0.557106137275696;tweeted Vamo Cruzeiro QuintaAzul LutaremosAtÃƒÂoFim cruzeiro;03/10/2018 14:32
90;90;0.510596811771393;tweeted AmanhÃƒÂ ÃƒÂ tudo ou nada;03/10/2018 00:00
91;91;0.749937832355499;Cruzeiro FechadoComOCruzeiro toca elenaotembi;03/10/2018 00:00
92;92;0.910720229148865;tweeted Ãƒâ€ assim que uma torcida faz a diferenÃƒÂa Com incentivo vamos longe;03/10/2018 00:00
93;93;0.5;FechadoComOCruzeiroWed Oct;03/10/2018 00:00
94;94;0.501200199127197;tweeted Estamos em segundo nos TTs BH Podemos mais;03/10/2018 00:00
95;95;0.528989195823669;tweetedEstou nas terÃƒÂas mas assista ao Horizonte Esporte de segunda a sextafeira ao vivo Ãƒ s h no CanalHD TV AbertÃâ‚Â;03/10/2018 14:27
96;96;0.744821190834045;tweeted A pedido do mitovamos subir a tag QuintaAzul borÃƒÂ galera CruzeiroCabuloso Cruzeiro;03/10/2018 14:24
97;97;0.71167927980423;tweetedPresidente Wagner exalta forÃƒÂa da torcida nos jogos que o time realizou no MineirÃƒÂo Equipe se aproxima do milhÃƒÂo de torÃâ‚Â;03/10/2018 14:21
98;98;0.768135368824005;tweeted Eu tÃƒÂ arrepiada com essa sinergia entre a torcida do Cruzeiro e os jogadores Temos que acreditar e confiar SIM EsÃâ‚Â;03/10/2018 14:18
99;99;0.677164316177368;tweeted O MITO CONVOCOU A NAÃƒâ€ÃƒÆ’O AZUL QuintaAzulcruzeiro;03/10/2018 14:16
