Id;Score;text;data;
1;1;0.639461398124695;Vamos Galo CAMxSPO‚Ä;01/10/2018 18:00
2;2;0.40809965133667;tweeted Se o Emerson jogasse sempre assim ia pra sele√√o f√cil Galo;01/10/2018 18:00
3;3;0.901301383972168;tweeted Melhor jogo do Emerson Cazares esse ano e Chara no Galo;01/10/2018 18:00
4;4;0.446420669555664;tweeted Presen√a do Pietro conosco ele √ p√ quente Goleada confirmada ‚ö‚ö‚öüìüìüì Galo Cariogalo;01/10/2018 18:00
5;5;0.530531108379364;tweetedRicardo Oliveira recebe de Cazares toca na sa√da do goleiro e manda pro fundo do goooooooooooooooooooooooooooooooooooo‚Ä;01/10/2018 18:00
6;6;0.494821190834045;tweetedGOOOOOOOOOOOOOOOOOOOLLL DO GAAAAAAALLLLOOOOOOOOOOOOOOO GALO CAMxSPO AMassaJogaJunto TimeDeTodos üü;01/10/2018 18:00
7;7;0.467657804489136;tweetedIago Maidana recebe o terceiro cart√o amarelo e desfalca o Galo contra a Chapecoense;01/10/2018 18:00
8;8;0.248411983251572;tweetedRicardo Oliveira cobra falta A bola explode na barreira;01/10/2018 18:00
9;9;0.667302250862122;tweeted Eles chegaram com estilo Valeupontos Galo CAMxSPO ‚;01/10/2018 18:00
10;10;0.554307818412781;tweetedChar√ invade a √rea e toca Elias chuta no cantinho e manda a bola para o fundo do goooooooooooooooooooooooooooooooooooo‚Ä;01/10/2018 18:00
11;11;0.494821190834045;tweeted GALO;01/10/2018 18:00
12;12;0.5;AMassaJogaJunto;01/10/2018 18:00
13;13;0.508696436882019;atl√tico;01/10/2018 18:00
14;14;0.88315886259079;Como √ bom te ver ganhando;01/10/2018 18:00
15;15;0.5;Vsmo galoooooo;01/10/2018 18:00
16;16;0.580879330635071;tweetedF√bio Santos cobra p√nalti manda a bola para o fundo do goooooooooooooooooooooooooooooooooooooooool e vira o jogo para‚Ä;01/10/2018 18:00
17;17;0.494821190834045;tweetedElias pelo Galo;01/10/2018 18:00
18;18;0.494821190834045;tweeted ¬ MEXIDA NO GALO;01/10/2018 18:00
19;19;0.444159030914307;Sai Luan;01/10/2018 18:00
20;20;0.5;Entra Edinho;01/10/2018 18:00
21;21;0.508101582527161;tweetedFim do primeiro tempo no Horto GaloxSport;01/10/2018 18:00
22;22;0.467657804489136;tweeted Iago Maidana recebe o terceiro cart√o amarelo e desfalca o Galo contra a Chapecoense;01/10/2018 18:00
23;23;0.61459869146347;tweetedBrasil levando um baile da Pol√nia na final do Mundial de v√lei masculino A not√cia boa √ que o Galo t√ dando um baile no Inde‚Ä;01/10/2018 18:00
24;24;0.494821190834045;tweetedCazares pelo Galo;01/10/2018 18:00
25;25;0.508696436882019;tweetedSubstitui√√o no Atl√tico Edinho entra no lugar de Luan;01/10/2018 18:00
26;26;0.494821190834045;tweeted Cazares pelo Galo;01/10/2018 18:00
27;27;0.5;assist√ncias‚Ä;01/10/2018 18:00
28;28;0.508696436882019;tweeted Substitui√√o no Atl√tico Edinho entra no lugar de Luan;01/10/2018 18:00
29;29;0.5;tweeted Natan Galdezani Tom√s Andrade tudo porqueira viuGalo;01/10/2018 18:00
30;30;0.428364217281342;tweetedPartida√a dohoje Destruiu com o jogo Pode demais da conta basta querer üëäüüëäüüëäüüì GALO aqui√GALO;01/10/2018 18:00
31;31;0.494055539369583;tweeted GALO desdeque precisa de Zagueiro;01/10/2018 18:00
