Id;Score;text;created
44;0.588187158107758;Fala aí massa do Galo Curtam nossa fanpage no facebook gt;16/03/2019 21:00
45;0.554280638694763;"Coerência é o que mais lhe falta Levir 

Boa leitura <U+23EC> <U+0001F3F4><U+0001F3F3><U+FE0F>";16/03/2019 20:57
46;0.5;Zé do Monte recebendo uma Corbélia do jogador doGalo;16/03/2019 20:44
47;0.583124041557312;"A torcida do Galojá está assim 
Quando ouve falar o nome dele";16/03/2019 20:30
48;0.71840763092041;"Obrigado a todos pela recepção Suas mensagens nos tocaram realmente
Estamos orgulhosos que você se junte à LCSFamily…";16/03/2019 20:19
49;0.507277071475983;"Poderia ser a preliminar do jogo nohein Mas pessoal de Venda Nova e região AMANHÃ cedo tem <U+0001F44A><U+0001F3FB><U+0001F44A><U+0001F3FB><U+0001F44A><U+0001F3FB><U+0001F413>

GALO…";16/03/2019 20:15
50;0.842795968055725;"Os porquês do Galo

Por Léo Siqueira e Stéfano Bruno

Boa leitura <U+23EC> <U+0001F3F4><U+0001F3F3><U+FE0F>";16/03/2019 20:14
51;0.287436246871948;Só pode escalar<U+0001F923>agora quem ficar de fora vai ser pirraça <U+0001F602>Galo thiagonevescuzao;16/03/2019 20:10
52;0.0238095242530107;Na análise do Futsatus o Levir tem o pior aproveitamento dos últimostécnicos do Galo Aproveitamento dele só n é pior q…;16/03/2019 19:56
53;0.119835928082466;"Chará deve ter cagado e limpado com a toalha do Levir só pode

Terans é sério isso

LevirTáGaga TeimosoSemSorte
Galo Galo";16/03/2019 19:43
54;0.0170675218105316;time que está ganhando não se mexe no caso do Levir ele leva em consideração a derrota Galo galo;16/03/2019 19:43
55;0.764275074005127;<U+0001F3A5> DeOndeEuVim T E Confira mais um episódio da série e conheça a história do Marquinhos meiocampista do time sub do…;16/03/2019 19:38
56;0.523629546165466;Estou MUITO ansioso para ver os novos uniformes do Galo feitos pela;16/03/2019 19:35
57;0.491770535707474;ESTA E A MAS PURA VERDADE <U+0001F622><U+0001F620>GALO;16/03/2019 19:34
58;0.631604433059692;ParabénsSeis anos de história A torcida do Galo é a expressao máxima e superlativa do Clube…;16/03/2019 19:24
59;0.801148474216461;"O meia Renato Augusto encaixaria bem demais no time do
continenteatleticano Galo";16/03/2019 19:22
60;0.505824863910675;Vamú GaloJá comprei Estou em SP alguém vai me representarGaloSempreGalo na VeiaGaloSempreArenaMrv;16/03/2019 19:14
61;0;Que ódio desse Danrley falando mal do meu Galo Agora é guerra BBB;16/03/2019 19:13
62;0.764275074005127;<U+0001F3A5> DeOndeEuVim T E Confira mais um episódio da série e conheça a história do Marquinhos meiocampista do time…;16/03/2019 19:05
63;0.5;ALO ALODA…;16/03/2019 19:00
64;0.767947733402252;A coleção nova tá bombando nas lojas Corre pro site da nossa bio pra escolher o seu modelo e torcer cheio de estil…;16/03/2019 19:00
65;1;AMIGO QUE TRABALHO TOP VIU PARABÉNS GALO;16/03/2019 18:57
66;0.0877631306648254;O único que eu fui Galo x América no Mineirão emGOLAÇO do Pratto saudades um do Carlos Césa…;16/03/2019 18:37
67;0.4928178191185;manda muito bemGALO;16/03/2019 18:36
68;0.216816514730453;Eitá dando bobeira no mercadoSalário deve ser monstruosomas não custa tentarGalo;16/03/2019 18:29
69;0.516420900821686;"GALO

Guga <U+2714><U+FE0F>
Rever <U+2714><U+FE0F>
Rabello <U+2714><U+FE0F>
Matheus Mancini <U+2714><U+FE0F>
Zé Welison <U+2714><U+FE0F>
Adilson <U+2714><U+FE0F>
Cazares <U+2714><U+FE0F>
Luan <U+2714><U+FE0F>
David Te…";16/03/2019 18:27
70;0.825251460075378;<U+0001F3A5> DeOndeEuVim T E Confira às h deste sábado mais um episódio da série e conheça a história do Marquinhos meioca…;16/03/2019 18:27
71;0.508338689804077;Espia só À exceção das Lojas do GALO Sion e Savassi ainda tem tempo de garantir os ingressos hoje em todos os demais p…;16/03/2019 18:25
72;0.421055048704147;Lembrando que crianças de atéanos entram DE GRAÇA e hoje é o último dia para retirada dos ingressos CORRAM…;16/03/2019 18:09
73;0.619928181171417;Mano já pensou se batemil Seria MUITO ÉPICO Eu não duvido de nada ainda mais se tratando da…;16/03/2019 18:08
74;0.437334299087524;"Vai pra cima delas Galo <U+0001F469><U+0001F3FB><U+0001F469><U+0001F3FC><U+0001F469><U+0001F3FD><U+0001F469><U+0001F3FE><U+0001F469><U+0001F3FF>

MeninasDoGalo";16/03/2019 18:07
75;0.51501077413559;"Agora sei porque onão sai do zapzap com o
Ahhhhh seus danadinhos
Galo";16/03/2019 17:57
76;0.561143279075623;Ei torcedor do GALO Garanta saúde para você e sua família adquirindo através de Galocoins o cartão virtual…;16/03/2019 17:37
77;0.552611172199249;<U+0001F3DF><U+FE0F> Galo x Américatorcedores garantidos Prossegue a venda presencial com gratuidade para crianças de até…;16/03/2019 17:34
78;0.288907080888748;ATENÇÃO Ainda tem alguém que não se ligou na gratuidade para as crianças atéanos AMANHÃ em GALO x América A retira…;16/03/2019 17:22
79;0.0652173906564713;A coisa tá tão ruim com o Galo que até no jogo futebol managero Galo tá mal na libertadores e ainda o plantel…;16/03/2019 17:06
80;0.523741781711578;Espia só À exceção das Lojas do GALO Sion e Savassi ainda tem tempo de garantir os ingressos hoje em todos os de…;16/03/2019 16:57
81;0.455073773860931;<U+0001F3DF><U+FE0F><U+0001F3AB> VemProMineirão Prossegue a venda presencial para Galo x América com gratuidade para crianças de atéanos necessár…;16/03/2019 16:57
82;0.565550565719604;<U+0001F3DF><U+FE0F><U+0001F3AB> A gratuidade para crianças no clássico de domingo noestá condicionada à retirada de ingressos nos postos de…;16/03/2019 16:56
83;0.278352439403534;ATENÇÃO Ainda tem alguém que não se ligou na gratuidade para as crianças atéanos AMANHÃ em GALO x América A…;16/03/2019 16:54
84;0;"GALO

Chará e muito ruim não joga bem fax tempo";16/03/2019 16:52
85;0.468401253223419;"Ovai muito bem no Éverton Inglaterra e com ono coração afinal UMA VEZ ATÉ MORRER
GALO";16/03/2019 16:50
86;0.104570925235748;"Recebi esse modelos de CAMISA DO GALO no WhatsApp Não sei a autoria

Colocando todos os patrocinadores e nos lugares…";16/03/2019 16:48
87;0.0238095242530107;Discordo de você que o Galo não tem nada ensaiado mas não gosto do que está sendo ensaiado Não da pra…;16/03/2019 16:44
88;0.37918084859848;Lógico que eu ia passar na porta da sede do meu amor e tirar uma fotinha <U+0001F414><U+0001F5A4> aquiégalo atleticomg galaodamassa…;16/03/2019 16:37
89;0.592912673950195;Galo treina para o clássico deste domingo;16/03/2019 16:28
90;0.769239485263824;"<U+0001F3A5><U+0001F3AF> Foco total na liderança do Campeonato Mineiro

 Galo oMaiorCAMpeãoMineiro <U+0001F3F4><U+0001F3F3><U+FE0F>";16/03/2019 16:28
91;0.461582720279694;Nossa GataAtleticanaGalo GaloDoido GNV ArenaMRV MulheresnoFutebol AquiéGalo…;16/03/2019 16:24
92;0.434624671936035;O exatacante jogou pelo Galo deae em;16/03/2019 16:19
93;0.51012796163559;estreia neste domingo;16/03/2019 16:19
94;1;"<U+0001F44F><U+0001F3FE> Feliz aniversário deanos Valdir Bigode Muita saúde e paz Galo sempre <U+0001F44A><U+0001F3FE>

Campeão das copas Conmebole Ce…";16/03/2019 16:18
95;0.563010454177856;"PuxaEesse cara de São Joaquim de bicas Era Crucru e virou Atleticano
O dia que ele foi no Horto endoido…";16/03/2019 16:10
96;0;Covarde não é a internetCovarde é vc que retrancou o time Será que é tão difícil voltar a escalar…;16/03/2019 15:57
97;0.0426714420318604;"Respondendo aos vários questionamentos sobre uma possível multa pelo Atlético não jogador no Horto
Abaixo um trecho da e…";16/03/2019 15:54
98;0.498161971569061;Já se inscreveu pra ser musa do Galo hj Pq olha <U+0001F60D><U+0001F44F><U+0001F3FB><U+0001F44F><U+0001F3FB><U+0001F44F><U+0001F3FB>;16/03/2019 15:52
99;0.0862163156270981;Sou a favor da manutenção não por ele ser o “cara” mas por reconhecer a fragilidade do elenco do Galo e a fragi…;16/03/2019 15:50
100;0.5044025182724;Na LiveDebatecriticou a incoerência do técnico Levir Culpi que defende números mas mantém jogadores se…;16/03/2019 15:49
101;0.616276741027832;"Essa CAMisa da GALO Metal é maravilhosa Eu tenho uma 
GAAAALLLLLLOOOOOOO";16/03/2019 15:27
102;0.825251460075378;<U+0001F3A5> DeOndeEuVim T E Confira às h deste sábado mais um episódio da série e conheça a história do Marquinho…;16/03/2019 15:26
103;0.51305228471756;Passaram praticamento todos os tecnicos pelo Galo nenhum será unanime Levir tem seus defeitos e comete erros como…;16/03/2019 15:08
104;0.461852014064789;Curta nossa fanpage gt;16/03/2019 15:01
105;0.41339299082756;Meu amigo a torcida do Galo representa o Galo nao e o futebol e sim o Galo temos que u…;16/03/2019 15:00
106;0.718423128128052;"Amanhã tem Galo tem trabalho a ser feito e temfazendo a diferença na arquibancada 

vamugalo…";16/03/2019 14:55
107;0.693180918693542;<U+0001F4F8> Veja o álbum com as principais fotos do nosso penúltimo treino antes da partida deste domingo contra o América;16/03/2019 14:47
108;0.554607808589935;Todo esse discurso de projeto de futebol e planejamento vai por terra após algumas derrot…;16/03/2019 14:47
109;0.0989854857325554;Apesar de toda raiva q tá nos fazendo Mesmo sendo um profissional sem tesão pela vitória Com toda falta de noção…;16/03/2019 14:47
110;0.0887704789638519;Não acredito q ovai deixar o alçapão do Bonfim pra jogar no Horto pq o…;16/03/2019 14:39
111;0.834259629249573;<U+26BD><U+0001F469><U+0001F3FD> Domingo também é dia de apoiar ona estreia da Copa BH Vamos nessa Massa A entrada é franca…;16/03/2019 14:23
112;0;Na análise do Futsatus o Levir tem o pior aproveitamento dos últimostécnicos do Galo Aproveitamento dele só n…;16/03/2019 14:15
113;0.477197110652924;"NOTÍCIA URGENTE <U+0001F602><U+0001F602><U+0001F602>

Galo";16/03/2019 14:13
114;0.728481292724609;Com essa escalação é quase certo o Galo voltar a Golear e GANHAR As partidas pas Galo;16/03/2019 14:09
115;0.861900329589844;"Anota aí a estreia de domingo de manhã massa
<U+0001F4C6>de março 
<U+23F0> h
<U+0001F4CD> Sesc Venda Nova
Vamos Galo
GaloFeminino 
Futeb…";16/03/2019 14:04
116;0.564417004585266;E colocaria<U+200B> o Patric de ponta igual fez…;16/03/2019 14:03
117;0.670476496219635;Hj o Levir se preocupa mais com a polícia com cultura do futebol com a educação do Brasileiro do q com a postura…;16/03/2019 14:02
118;0.388197720050812;A única coisa q o Levir tá servindo hj é para BLINDAR a Diretoria É isso mostra o quanto o Galo está sem pulso…;16/03/2019 14:02
119;0.298719584941864;E quando Chará vai poder fazer o próximo gol se não tiver oportunidade no timeGalo;16/03/2019 13:53
120;0.728811085224152;"GALO

Guga ganhamos em qualidade

David Terans <U+2714><U+FE0F> ganhamos em trabalho e exquema táctico";16/03/2019 13:48
121;0.565550565719604;<U+0001F3DF><U+FE0F><U+0001F3AB> A gratuidade para crianças no clássico de domingo noestá condicionada à retirada de ingressos nos…;16/03/2019 13:41
122;0.455073773860931;<U+0001F3DF><U+FE0F><U+0001F3AB> VemProMineirão Prossegue a venda presencial para Galo x América com gratuidade para crianças de atéanos…;16/03/2019 13:40
123;1;Parabéns ao capitão da conquista da Libertadoresque acaba de retornar ao clube Feliz aniversário <U+0001F44F><U+0001F3FE> Muita…;16/03/2019 13:36
124;0.437705397605896;"Sem avanços Jobson está cada vez mais distante do Atlético

<U+23EC> <U+0001F3F4><U+0001F3F3><U+FE0F>";16/03/2019 13:27
125;0.443314731121063;"Levir até quando essa pirraça LiveDebate

Pluga aí e inscrevase <U+23EC>";16/03/2019 13:22
126;0.559861242771149;A postura em campo mostra bastante do que é a liderança no Atlético do técnico ao presidente As críticas os questioname…;16/03/2019 13:21
127;0.591055989265442;"Atenção O ganhador da camisa oficial do Atlético foi o João Carlos 

João nossa DM está aberta esperando seu contato ou…";16/03/2019 13:21
128;0.53998190164566;Fábio Santos Hauhauhauahuahuahuhauahuaha Galo;16/03/2019 13:20
129;0.487639009952545;Muito obrigadoAlterosaEsporte Galo;16/03/2019 13:18
130;0.402195453643799;como vai ficar o brasileirão Vou poder ver todos os jogos do Galo afinal é para isso que pago vcs;16/03/2019 12:28
131;0.0454545468091965;Você vê que o Levir está completamente perdido quando ele se contradiz ao dizer que não pode sacar Elias e Patric p…;16/03/2019 12:15
132;0.552611172199249;<U+0001F3DF><U+FE0F> Galo x Américatorcedores garantidos Prossegue a venda presencial com gratuidade para crianças de atéanos…;16/03/2019 12:04
