text;created;language;id
VoleiNoSporTV sempre bom assistir meu CRUZEIRO e com os comentarios dofica melhor ainda <U+0001F929>;16/03/2019 22:43;pt;42
Com a vitória x sobre o TUPI ManoMenezes chega às vitorías com o cruzeiro<U+0001F44A><U+0001F3FC><U+26AA><U+FE0F><U+0001F535><U+0001F98A>;16/03/2019 22:42;pt;43
"Vamos Sada Cruzeiro <U+0001F4AA><U+0001F3FB><U+0001F98A><U+0001F499><U+0001F44A><U+0001F3FB>
VamoSadaCruzeiro Superliga SadaCruzeiro Cruzeiro NasBatalhasComOCruzeiro";16/03/2019 22:28;pt;44
Recémchegado aoo lateral esquerdo Ryan tem se destacado nos treinos e jogos preparatórios pra Copa do B…;16/03/2019 22:00;pt;45
Muito semelhante Veja a comparaçãocruzeiro superfc;16/03/2019 21:50;pt;46
Um gol contra deu início a goleada do Cruzeiro que completou o placar com Fred e Egídio O time ocupa acolocação no…;16/03/2019 21:49;pt;47
"O Rei dos stories está de volta hahahahaha

Fred
ReiDosStories
Cruzeiro";16/03/2019 21:38;pt;48
"Eu assistindo o jogo do cruzeiro

O narrador falava Egídio e eusóentendia Messi <U+0001F937><U+200D><U+2642><U+FE0F><U+0001F632>

cruzeiroRaposaSegueRaposa";16/03/2019 21:24;pt;50
O novo manto da Nação Azul com a marca Digi Cruzeiro ficou lindo demais Na foto o DiretorPresidente do Banco Renne…;16/03/2019 18:54;pt;51
Grande reforço para a equipe Digi CruzeiroRaposão e Raposinho mostrando para os torcedores doque a N…;16/03/2019 18:54;pt;52
Será que tem algum cruzeirense que detesta esse Henrique Fernandes comentando jogos do Cruzeiro mais q eu dúvidoCruzeiro;16/03/2019 18:49;pt;53
"CAMPEONATO MINEIRO<U+0001F3C6><U+26BD>

Tupi x Cruzeiro
Mário Helênioh

Siga 

Tupi Cruzeiro…";16/03/2019 18:45;pt;54
TUPI Vilar Pablo Aislan Guilherme Henrique e Lucas Sampaio Max Carrasco Leandro Brasília Baiano e Gabriel T…;16/03/2019 18:39;pt;55
"Mineiro 

Cruzeiro x Tupi

SabadoDetremuraSDV";16/03/2019 18:35;pt;56
"Agora nacom Tupi x Cruzeiro Vale a vida pro Tupi mas o Cruzeiro vai com time titular
Promete…";16/03/2019 18:33;pt;57
<U+26BD><U+FE0F> Cruzeiro escalado aqui em Juiz de Fora Fábio Edílson Dedé Léo e Egídio Henrique Lucas Romero Robinho Rodrigu…;16/03/2019 18:25;pt;58
"escalado para enfrenta o Tupi em Juiz De ForaMG

Cruzeiro SabadoDetremuraSDV FOLLOWTRICK";16/03/2019 18:24;pt;59
Já no Estádio Mario Helênio para acompanhar o Cruzeiro;16/03/2019 18:22;pt;60
