Id;Score;text;data
40;0.197092175483704;Não sou cruzeirense e que me desculpe o Tupi mas jantei hoje com o time dolá na potenciadosuljfDa hor…;16/03/2019 21:12
41;0.0454545468091965;VoleiNoSporTV o CRUZEIRO está escolhendo adversario pra fase final Ta jogando muito mal hoje Desrespeito com a torcida isso é FEIO<U+0001F623>;16/03/2019 20:57
42;0.565958559513092;VoleiNoSporTV o CRUZEIRO ainda vai virar;16/03/2019 20:52
43;1;Final de jogo TUPXCRU em um treino de luxo pro Cruzeiro e quem foi o melhor em campo;16/03/2019 20:33
44;0.976190447807312;O novo manto da Nação Azul com a marca Digi Cruzeiro ficou lindo demais Na foto o DiretorPresidente do Banco Renne…;16/03/2019 15:54
45;0.675459325313568;Grande reforço para a equipe Digi CruzeiroRaposão e Raposinho mostrando para os torcedores doque a N…;16/03/2019 15:54
46;0.351575791835785;Será que tem algum cruzeirense que detesta esse Henrique Fernandes comentando jogos do Cruzeiro mais q eu dúvidoCruzeiro;16/03/2019 15:49
47;0.57434743642807;"CAMPEONATO MINEIRO<U+0001F3C6><U+26BD>

Tupi x Cruzeiro
Mário Helênioh

Siga 

Tupi Cruzeiro…";16/03/2019 15:45
48;0.580078363418579;TUPI Vilar Pablo Aislan Guilherme Henrique e Lucas Sampaio Max Carrasco Leandro Brasília Baiano e Gabriel T…;16/03/2019 15:39
49;0.54075562953949;"Mineiro 

Cruzeiro x Tupi

SabadoDetremuraSDV";16/03/2019 15:35
